Company Name,ESG Rating
PARAMOUNT GLOBAL,A
CARRIER GLOBAL CORPORATION,AA
Global Unichip Corp,BBB
WSP GLOBAL INC.,AA
WISETECH GLOBAL LIMITED,AAA
RB Global Inc,AAA
GENERAL MOTORS COMPANY,BBB
GMR AIRPORTS LIMITED,BB
GOODMAN GROUP,AA
BARRICK GOLD CORP,BBB
KINROSS GOLD CORPORATION,A
"ZHONGJIN GOLD CORP., LTD",CCC
"Shanjin International Gold Co.,Ltd.",B
HARMONY GOLD MINING COMPANY LIMITED,B
"Shandong Gold Mining Co., Ltd.",CCC
PT Merdeka Copper Gold Tbk,A
"Chifeng Jilong Gold Mining Co., Ltd.",CCC
THE GPT GROUP,AA
GREAT-WEST LIFECO INC.,A
NATIONAL BANK OF GREECE S.A.,A
Great Wall Motor Company Limited,A
"CHINA GREAT WALL SECURITIES CO., LTD.",B
ADANI GREEN ENERGY LIMITED,BBB
"LONGi Green Energy Technology Co., Ltd.",BB
"THE GOLDMAN SACHS GROUP, INC.",A
GS Holdings,BBB
GSK PLC,AA
"Wuhan Guide Infrared Co., Ltd.",CCC
Richter Gedeon Vegyeszeti Gyar Nyilvanosan Mukodo Rt.,BBB
Coca-Cola HBC AG,AA
Mitsubishi HC Capital Inc.,BBB
HCL TECHNOLOGIES LIMITED,AA
"HCA HEALTHCARE, INC.",A
"HD HYUNDAI CO.,LTD.",BBB
"HD HYUNDAI ELECTRIC CO., LTD.",BBB
"HD HYUNDAI HEAVY INDUSTRIES CO.,LTD.",BB
"HD KOREA SHIPBUILDING & OFFSHORE ENGINEERING CO., LTD.",BB
"THE HOME DEPOT, INC.",AA
HDFC BANK LIMITED,AA
HDFC LIFE INSURANCE COMPANY LIMITED,A
"Mitsubishi Heavy Industries, Ltd.",AA
BHARAT HEAVY ELECTRICALS LIMITED,B
IHH HEALTHCARE BERHAD,A
"SAMSUNG HEAVY INDUSTRIES CO.,LTD",BB
SONIC HEALTHCARE LIMITED,AA
"SANY HEAVY INDUSTRY CO., LTD",BB
MAX HEALTHCARE INSTITUTE LIMITED,BB
HF SINCLAIR CORPORATION,A
"Shanghai Zhangjiang Hi-Tech Park Development Co.,Ltd",B
"Gotion High-tech Co.,Ltd.",B
Taiwan High Speed Rail Corporation,BBB
"CHANGCHUN HIGH-TECH INDUSTRY (GROUP) CO., LTD.",BB
Beijing-Shanghai High Speed Railway Co Ltd,CCC
HARGREAVES LANSDOWN PLC,A
HLB INC.,BB
"HLA GROUP CORP., LTD.",B
H & M Hennes & Mauritz AB,AA
"HMM CO.,LTD",BBB
THALES SA,BBB
INVITATION HOMES INC.,BBB
AMERICAN HOMES 4 RENT,BBB
"New Hope Liuhe Co., Ltd.",B
Oppein Home Group Inc.,B
Sinotruk (Hong Kong) Limited,BB
HONG LEONG BANK BERHAD,A
HP INC.,AA
HSBC HOLDINGS PLC,AA
"Tianshui Huatian Technology Co., Ltd.",CCC
SUN HUNG KAI PROPERTIES LIMITED,A
"J. B. HUNT TRANSPORT SERVICES, INC.",AA
"HUATAI SECURITIES CO.,LTD.",AA
HUA HONG SEMICONDUCTOR LIMITED,BB
"HUA XIA BANK CO., Limited",BBB
"HUA NAN FINANCIAL HOLDINGS CO., LTD.",AA
"SHAN XI HUA YANG GROUP NEW ENERGY CO., LTD.",CCC
Hwatsing Technology Co Ltd,CCC
HYUNDAI MOTOR COMPANY,CCC
HYUNDAI STEEL COMPANY,B
"HYUNDAI MOBIS CO.,LTD",B
